Time,WorkingSetBytes,PrivateBytes
2025-11-14T23:32:52.9756291+05:30,16384,2646016
2025-11-14T23:32:54.0006057+05:30,16384,2646016
2025-11-14T23:32:55.0155091+05:30,16384,2646016
2025-11-14T23:32:56.0272557+05:30,16384,2646016
2025-11-14T23:32:57.0418640+05:30,16384,2646016
2025-11-14T23:32:58.0553527+05:30,16384,2646016
2025-11-14T23:32:59.0787836+05:30,16384,2646016
2025-11-14T23:33:00.0938625+05:30,16384,2646016
2025-11-14T23:33:01.1064980+05:30,16384,2646016
2025-11-14T23:33:02.1236954+05:30,16384,2646016
2025-11-14T23:33:03.1476774+05:30,16384,2646016
2025-11-14T23:33:04.1621612+05:30,16384,2646016
2025-11-14T23:33:05.1782984+05:30,16384,2646016
2025-11-14T23:33:06.2014408+05:30,16384,2646016
2025-11-14T23:33:07.2116392+05:30,16384,2646016
2025-11-14T23:33:08.2252135+05:30,16384,2646016
2025-11-14T23:33:09.2394200+05:30,16384,2646016
2025-11-14T23:33:10.2527846+05:30,16384,2646016
2025-11-14T23:33:11.2644960+05:30,16384,2646016
2025-11-14T23:33:12.2837364+05:30,16384,2646016
2025-11-14T23:33:13.3004802+05:30,16384,2646016
2025-11-14T23:33:14.3146425+05:30,16384,2646016
2025-11-14T23:33:15.3306105+05:30,16384,2646016
2025-11-14T23:33:16.3584799+05:30,16384,2646016
2025-11-14T23:33:17.3711400+05:30,16384,2646016
2025-11-14T23:33:18.3860370+05:30,16384,2646016
2025-11-14T23:33:19.4005004+05:30,16384,2646016
2025-11-14T23:33:20.4232150+05:30,16384,2646016
2025-11-14T23:33:21.4364618+05:30,16384,2646016
2025-11-14T23:33:22.4494727+05:30,16384,2646016
2025-11-14T23:33:23.4629171+05:30,16384,2646016
2025-11-14T23:33:24.5085044+05:30,16384,2646016
2025-11-14T23:33:25.5342202+05:30,16384,2646016
2025-11-14T23:33:26.5574004+05:30,16384,2646016
2025-11-14T23:33:27.5734276+05:30,16384,2646016
2025-11-14T23:33:28.6048566+05:30,16384,2646016
2025-11-14T23:33:29.6210082+05:30,16384,2646016
2025-11-14T23:33:30.6319489+05:30,16384,2646016
2025-11-14T23:33:31.6476273+05:30,16384,2646016
2025-11-14T23:33:32.6779653+05:30,16384,2646016
2025-11-14T23:33:33.6970092+05:30,16384,2646016
2025-11-14T23:33:34.7133131+05:30,16384,2646016
2025-11-14T23:33:35.7254907+05:30,16384,2646016
2025-11-14T23:33:36.7414343+05:30,16384,2646016
2025-11-14T23:33:37.7542788+05:30,16384,2646016
2025-11-14T23:33:38.7717661+05:30,16384,2646016
2025-11-14T23:33:39.7934067+05:30,16384,2646016
2025-11-14T23:33:40.8052420+05:30,16384,2646016
2025-11-14T23:33:41.8247755+05:30,16384,2646016
2025-11-14T23:33:42.8479556+05:30,16384,2646016
2025-11-14T23:33:43.8613106+05:30,16384,2646016
2025-11-14T23:33:44.8703902+05:30,16384,2646016
2025-11-14T23:33:45.8850945+05:30,16384,2646016
2025-11-14T23:33:46.9064015+05:30,16384,2646016
2025-11-14T23:33:47.9245654+05:30,16384,2646016
2025-11-14T23:33:48.9405808+05:30,16384,2646016
